accession,length,description
KG817025.1,72,"MI11925-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048005.1,72,"Drosophila melanogaster mir-2a-2 precursor RNA (mir-2a-2), miRNA"
KG816774.1,72,"MI11522-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454781.1,72,"MI13418-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG816912.1,72,"MI11262-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KS718246.1,72,"InSITE_11 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KO454828.1,71,"MI13669-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048175.1,71,"Drosophila melanogaster mir-313 precursor RNA (mir-313), miRNA"
NR_048478.1,71,"Drosophila melanogaster mir-1017 precursor RNA (mir-1017), miRNA"
KG961376.1,71,"MI12464-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO465249.1,71,"MI15175-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048461.1,71,"Drosophila melanogaster mir-1010 precursor RNA (mir-1010), miRNA"
NR_048235.1,71,"Drosophila melanogaster mir-2501 precursor RNA (mir-2501), miRNA"
KO465281.1,71,"MI15271-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455009.1,71,"MI14127-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003844.1,71,"Drosophila melanogaster snoRNA:Me5.8S-G74 (snoRNA:Me5.8S-G74), snoRNA"
KG963391.1,71,"MI12677-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG963376.1,71,"MI12576-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047860.1,71,"Drosophila melanogaster mir-2535b precursor RNA (mir-2535b), miRNA"
KO454835.1,71,"MI13771-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO488127.1,71,"MI08332-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG779767.1,71,"MI11144-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003725.1,71,"Drosophila melanogaster snoRNA:Me28S-G980 (snoRNA:Me28S-G980), snoRNA"
NR_003800.1,71,"Drosophila melanogaster snoRNA:Me28S-A992 (snoRNA:Me28S-A992), snoRNA"
NR_002270.1,71,"Drosophila melanogaster small nuclear RNA U7 (snRNA:U7), snRNA"
KS718573.1,70,"InSITE_5042 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KS718444.1,70,"InSITE_2275 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_003840.1,70,"Drosophila melanogaster snoRNA:Me28S-C788b (snoRNA:Me28S-C788b), snoRNA"
MQ189224.1,70,Sequence 77 from Patent EP3873505
MP549554.1,70,Sequence 25 from Patent WO2020035673
NR_163221.1,70,"Drosophila melanogaster snoRNA:Orphan C/D box 13 (snoRNA:Or-CD13), snoRNA"
KS718317.1,70,"InSITE_698 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_047755.1,70,"Drosophila melanogaster mir-303 precursor RNA (mir-303), miRNA"
KS718496.1,70,"InSITE_4020 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KO455196.1,70,"MI14546-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO465494.1,70,"MI15669-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047785.1,70,"Drosophila melanogaster mir-13b-2 precursor RNA (mir-13b-2), miRNA"
NR_047705.1,70,"Drosophila melanogaster snoRNA:Me18S-C419 (snoRNA:Me18S-C419), snoRNA"
KO455419.1,70,"MI14394-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO455346.1,70,"MI14959-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG960131.1,70,"f04065-3prime Exelixis piggyBac WH insertions Drosophila melanogaster genomic 3', genomic survey sequence"
KG960144.1,70,"MI05828-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718420.1,69,"InSITE_2148 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG816978.1,69,"MI11437-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047736.1,69,"Drosophila melanogaster mir-3641 precursor RNA (mir-3641), miRNA"
KG963486.1,69,"MI13451-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_144666.1,69,"Drosophila melanogaster mir-9382 precursor RNA (mir-9382), miRNA"
KG961576.1,69,"MI13309-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961508.1,69,"MI12996-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454765.1,69,"MI13363-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_001762.1,69,"Drosophila melanogaster snoRNA:U27:54Ea (snoRNA:U27:54Ea), snoRNA"
NR_001755.1,69,"Drosophila melanogaster snoRNA:Me28S-G3081a (snoRNA:Me28S-G3081a), snoRNA"
KO455071.1,69,"MI14287-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455067.1,69,"MI14279-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG961350.1,69,"MI12348-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048164.1,69,"Drosophila melanogaster mir-3 precursor RNA (mir-3), miRNA"
NR_048158.1,69,"Drosophila melanogaster mir-5 precursor RNA (mir-5), miRNA"
NR_048166.1,69,"Drosophila melanogaster mir-309 precursor RNA (mir-309), miRNA"
NR_073613.1,69,"Drosophila melanogaster snoRNA:CD-24 (snoRNA:CD-24), snoRNA"
KG779753.1,69,"MI11125-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG779646.1,69,"MI10733-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_163218.1,69,"Drosophila melanogaster mir-10404-5 precursor RNA (mir-10404-5), miRNA"
NR_163217.1,69,"Drosophila melanogaster mir-10404-4 precursor RNA (mir-10404-4), miRNA"
NR_163216.1,69,"Drosophila melanogaster mir-10404-3 precursor RNA (mir-10404-3), miRNA"
NR_156799.1,69,"Drosophila melanogaster mir-10404-2 precursor RNA (mir-10404-2), miRNA"
NR_156798.1,69,"Drosophila melanogaster mir-10404-1 precursor RNA (mir-10404-1), miRNA"
NR_048399.1,68,"Drosophila melanogaster mir-13b-1 precursor RNA (mir-13b-1), miRNA"
NR_048405.1,68,"Drosophila melanogaster mir-4911 precursor RNA (mir-4911), miRNA"
KG779814.1,68,"MI11447-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG777755.1,68,"MI11239-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455438.1,68,"MI15266-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961337.1,68,"MI12321-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG961338.1,68,"MI12323-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048366.1,68,"Drosophila melanogaster mir-318 precursor RNA (mir-318), miRNA"
NR_002499.1,68,"Drosophila melanogaster snoRNA:Me18S-A1374 (snoRNA:Me18S-A1374), snoRNA"
NR_163234.1,68,"Drosophila melanogaster small nucleolar RNA Me18S-G1358c (snoRNA:Me18S-G1358c), snoRNA"
8SCH_A,68,"Chain A, RNA (68-MER)"
KG963464.1,68,"MI13293-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG817062.1,68,"MI12094-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048527.1,68,"Drosophila melanogaster mir-1014 precursor RNA (mir-1014), miRNA"
NR_048285.1,68,"Drosophila melanogaster mir-2500 precursor RNA (mir-2500), miRNA"
KO465430.1,68,"MI15558-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048417.1,68,"Drosophila melanogaster mir-iab-8 precursor RNA (mir-iab-8), miRNA"
NR_048416.1,68,"Drosophila melanogaster mir-iab-4 precursor RNA (mir-iab-4), miRNA"
NR_001640.1,68,"Drosophila melanogaster snoRNA:Me18S-G1620 (snoRNA:Me18S-G1620), snoRNA"
NR_048133.1,68,"Drosophila melanogaster mir-3643 precursor RNA (mir-3643), miRNA"
KG961784.1,68,"MI12567-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG816928.1,68,"MI11292-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047884.1,68,"Drosophila melanogaster mir-1004 precursor RNA (mir-1004), miRNA"
KG817019.1,68,"MI11905-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003826.1,67,"Drosophila melanogaster snoRNA:Me28S-G2173 (snoRNA:Me28S-G2173), snoRNA"
KS718318.1,67,"InSITE_701 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KO465272.1,67,"MI15239-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_002462.1,67,"Drosophila melanogaster snoRNA:Or-CD10 (snoRNA:Or-CD10), snoRNA"
NR_003854.1,67,"Drosophila melanogaster snoRNA:Or-CD11c (snoRNA:Or-CD11c), snoRNA"
NR_003856.1,67,"Drosophila melanogaster snoRNA:Or-CD11a (snoRNA:Or-CD11a), snoRNA"
NR_003855.1,67,"Drosophila melanogaster snoRNA:Or-CD11b (snoRNA:Or-CD11b), snoRNA"
NR_001766.1,67,"Drosophila melanogaster snoRNA:U31:54Ec (snoRNA:U31:54Ec), snoRNA"
KO487952.1,67,"MI00333-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_001770.1,67,"Drosophila melanogaster snoRNA:Me18S-A28a (snoRNA:Me18S-A28a), snoRNA"
NR_001765.1,67,"Drosophila melanogaster snoRNA:U31:54Eb (snoRNA:U31:54Eb), snoRNA"
KG817013.1,67,"MI11880-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_001767.1,67,"Drosophila melanogaster snoRNA:U31:54Ed (snoRNA:U31:54Ed), snoRNA"
KG960284.1,66,"MI12197-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG816997.1,66,"MI11560-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047888.1,66,"Drosophila melanogaster mir-4910 precursor RNA (mir-4910), miRNA"
KO454936.1,66,"MI13679-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718411.1,66,"InSITE_2118 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KO488187.1,66,"MI11371-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG779801.1,66,"MI11382-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG961290.1,66,"MI12246-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048173.1,66,"Drosophila melanogaster mir-312 precursor RNA (mir-312), miRNA"
KG816744.1,66,"MI11280-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG816832.1,66,"MI11775-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG779898.1,66,"MI11701-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961540.1,65,"MI13219-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047858.1,65,"Drosophila melanogaster mir-1007 precursor RNA (mir-1007), miRNA"
KG816850.1,65,"MI11922-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG960075.1,65,"d01332-5prime Exelixis P element XP insertions Drosophila melanogaster genomic 5', genomic survey sequence"
KO455255.1,65,"MI14682-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718280.1,65,"InSITE_265 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG961780.1,65,"MI12548-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO454766.1,65,"MI13363-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718213.1,65,"c05958-5prime Exelixis piggyBac PB insertions Drosophila melanogaster genomic 5', genomic survey sequence"
KS718492.1,65,"InSITE_4016 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG963388.1,65,"MI12661-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG963313.1,65,"MI02312-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048475.1,64,"Drosophila melanogaster mir-1015 precursor RNA (mir-1015), miRNA"
KO454931.1,64,"MI13661-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG816858.1,64,"MI11950-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_002471.1,64,"Drosophila melanogaster small non-coding RNA 438 (sncRNA:438), ncRNA"
KG816838.1,64,"MI11853-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG816870.1,64,"MI12066-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG963341.1,64,"MI12411-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047976.1,64,"Drosophila melanogaster mir-1006 precursor RNA (mir-1006), miRNA"
KS718480.1,64,"InSITE_3060 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG779610.1,64,"MI08887-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG779638.1,64,"MI10700-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO488065.1,64,"MI05038-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO454963.1,64,"MI13908-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO465393.1,63,"MI15490-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KS718561.1,63,"InSITE_4115 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_144673.1,63,"Drosophila melanogaster mir-9385 precursor RNA (mir-9385), miRNA"
KO465320.1,63,"MI15365-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048069.1,63,"Drosophila melanogaster mir-14 precursor RNA (mir-14), miRNA"
NR_048109.1,63,"Drosophila melanogaster mir-308 precursor RNA (mir-308), miRNA"
KO455218.1,63,"MI14597-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_002510.1,63,"Drosophila melanogaster small non-coding RNA 128 (sncRNA:128), ncRNA"
KG960107.1,63,"f00912-3prime Exelixis piggyBac WH insertions Drosophila melanogaster genomic 3', genomic survey sequence"
KS718529.1,63,"InSITE_4060 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KO488169.1,63,"MI10528-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO488174.1,63,"MI10557-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718233.1,63,"f01253-3prime Exelixis piggyBac WH insertions Drosophila melanogaster genomic 3', genomic survey sequence"
KG779733.1,62,"MI11063-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO454858.1,62,"MI13858-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_144672.1,62,"Drosophila melanogaster mir-9369 precursor RNA (mir-9369), miRNA"
KG960288.1,62,"MI12222-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_144667.1,62,"Drosophila melanogaster mir-9378 precursor RNA (mir-9378), miRNA"
KO454962.1,62,"MI13908-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG960064.1,62,"c02174-5prime Exelixis piggyBac PB insertions Drosophila melanogaster genomic 5', genomic survey sequence"
KG816965.1,62,"MI11400-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455092.1,62,"MI14318-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO454983.1,62,"MI13990-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO465412.1,62,"MI15528-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO453912.1,61,"MI12904-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455221.1,61,"MI14599-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG816840.1,61,"MI11859-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_144677.1,61,"Drosophila melanogaster mir-9374 precursor RNA (mir-9374), miRNA"
KO454030.1,61,"MI13578-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048516.1,61,"Drosophila melanogaster mir-1013 precursor RNA (mir-1013), miRNA"
NR_047886.1,61,"Drosophila melanogaster mir-1005 precursor RNA (mir-1005), miRNA"
KG963374.1,61,"MI12575-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048197.1,61,"Drosophila melanogaster mir-1009 precursor RNA (mir-1009), miRNA"
KO465307.1,61,"MI15326-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_144665.1,61,"Drosophila melanogaster mir-9372 precursor RNA (mir-9372), miRNA"
KG961332.1,61,"MI12319-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_144670.1,61,"Drosophila melanogaster mir-9371 precursor RNA (mir-9371), miRNA"
NR_144678.1,61,"Drosophila melanogaster mir-9383 precursor RNA (mir-9383), miRNA"
KO465255.1,61,"MI15213-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO455307.1,61,"MI14839-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048395.1,61,"Drosophila melanogaster mir-3644 precursor RNA (mir-3644), miRNA"
KG963315.1,60,"MI03128-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO454866.1,60,"MI14083-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048056.1,60,"Drosophila melanogaster mir-4909 precursor RNA (mir-4909), miRNA"
NR_047890.1,60,"Drosophila melanogaster mir-4912 precursor RNA (mir-4912), miRNA"
NR_048119.1,60,"Drosophila melanogaster mir-4919 precursor RNA (mir-4919), miRNA"
KO465504.1,60,"MI15686-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG779756.1,60,"MI11126-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718333.1,60,"InSITE_969 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_144662.1,60,"Drosophila melanogaster mir-9384 precursor RNA (mir-9384), miRNA"
MP948041.1,60,Sequence 12 from Patent EP3755801
MP948038.1,60,Sequence 9 from Patent EP3755801
MP549596.1,60,Sequence 67 from Patent WO2020035673
KS718219.1,60,"d07006-5prime Exelixis P element XP insertions Drosophila melanogaster genomic 5', genomic survey sequence"
8DFV_E,60,"Chain E, RNA (60-MER)"
8B9K_B,60,"Chain B, SL7modUUC"
8PJJ_B,60,"Chain B, SL7UUC RNA"
KG961836.1,60,"MI12979-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961509.1,60,"MI13018-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_144674.1,59,"Drosophila melanogaster mir-9375 precursor RNA (mir-9375), miRNA"
KG960292.1,59,"MI12228-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_002498.1,59,"Drosophila melanogaster small non-coding RNA 649 (sncRNA:649), ncRNA"
NR_047788.1,59,"Drosophila melanogaster mir-4916 precursor RNA (mir-4916), miRNA"
NR_144671.1,59,"Drosophila melanogaster mir-9373 precursor RNA (mir-9373), miRNA"
NR_048498.1,59,"Drosophila melanogaster mir-1012 precursor RNA (mir-1012), miRNA"
KO488194.1,59,"MI11810-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO453982.1,59,"MI13462-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO454919.1,59,"MI13515-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048513.1,59,"Drosophila melanogaster mir-4908 precursor RNA (mir-4908), miRNA"
KO453923.1,59,"MI13075-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO488025.1,59,"MI03577-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
8DG5_E,59,"Chain E, RNA (60-MER)"
KG817039.1,59,"MI11974-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG817015.1,59,"MI11886-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048111.1,58,"Drosophila melanogaster mir-1016 precursor RNA (mir-1016), miRNA"
KO488006.1,58,"MI03207-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG963431.1,58,"MI12999-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG961731.1,58,"MI08854-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454120.1,58,"MI13837-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KS718469.1,58,"InSITE_3013 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KS718382.1,58,"InSITE_2005 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KO488074.1,58,"MI05719-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454156.1,58,"MI13926-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG961442.1,58,"MI12743-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048238.1,58,"Drosophila melanogaster mir-4913 precursor RNA (mir-4913), miRNA"
KO465176.1,58,"MI14598-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG963369.1,58,"MI12565-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG960230.1,58,"MI11994-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO455303.1,57,"MI14831-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO465236.1,57,"MI15091-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_144669.1,57,"Drosophila melanogaster mir-9379 precursor RNA (mir-9379), miRNA"
MP549621.1,57,Sequence 92 from Patent WO2020035673
KG777757.1,57,"MI11249-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO454100.1,57,"MI13783-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048087.1,57,"Drosophila melanogaster mir-1008 precursor RNA (mir-1008), miRNA"
KO465147.1,57,"MI13553-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO487949.1,57,"MI00234-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO488256.1,57,"MI15559-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
JAEMNJ000000000.1,57,"Drosophila melanogaster strain cross KIE 15 94, whole genome shotgun sequencing project"
KG779923.1,57,"MI11788-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718262.1,56,"InSITE_152 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG779869.1,56,"MI11583-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454838.1,56,"MI13790-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048480.1,56,"Drosophila melanogaster mir-1003 precursor RNA (mir-1003), miRNA"
KG960216.1,56,"MI11938-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455342.1,56,"MI14951-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718501.1,56,"InSITE_4025 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KO453987.1,56,"MI13471-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO455306.1,55,"MI14839-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455394.1,55,"MI15125-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG779926.1,55,"MI11800-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG816897.1,55,"MI06499-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_002548.1,55,"Drosophila melanogaster snoRNA:185 (snoRNA:185), snoRNA"
KO455208.1,55,"MI14576-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO488101.1,55,"MI06694-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961441.1,55,"MI12742-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
5ZTM_C,55,"Chain C, non-coding mRNA sequence roX2"
KO465488.1,55,"MI15660-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048346.1,55,"Drosophila melanogaster mir-4918 precursor RNA (mir-4918), miRNA"
KG963435.1,55,"MI13044-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG961825.1,55,"MI12792-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_156797.1,55,"Drosophila melanogaster mir-11182 precursor RNA (mir-11182), miRNA"
KG963383.1,54,"MI12610-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG779930.1,54,"MI11816-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
