accession,length,description
PG054509.1,22,JP 2022545861-A/132: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054508.1,22,JP 2022545861-A/131: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054507.1,22,JP 2022545861-A/130: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054506.1,22,JP 2022545861-A/129: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054505.1,22,JP 2022545861-A/128: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054504.1,22,JP 2022545861-A/127: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054503.1,22,JP 2022545861-A/126: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054518.1,22,JP 2022545861-A/141: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054517.1,22,JP 2022545861-A/140: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054516.1,22,JP 2022545861-A/139: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054515.1,22,JP 2022545861-A/138: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054481.1,22,JP 2022545861-A/104: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054480.1,22,JP 2022545861-A/103: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054479.1,22,JP 2022545861-A/102: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054494.1,22,JP 2022545861-A/117: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054493.1,22,JP 2022545861-A/116: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054492.1,22,JP 2022545861-A/115: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054525.1,22,JP 2022545861-A/148: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054526.1,22,JP 2022545861-A/149: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054511.1,22,JP 2022545861-A/134: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054512.1,22,JP 2022545861-A/135: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054513.1,22,JP 2022545861-A/136: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054514.1,22,JP 2022545861-A/137: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG382052.1,22,JP 2023517118-A/12: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PG054675.1,22,JP 2022545861-A/298: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054633.1,22,JP 2022545861-A/256: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054632.1,22,JP 2022545861-A/255: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054631.1,22,JP 2022545861-A/254: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054630.1,22,JP 2022545861-A/253: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG382051.1,22,JP 2023517118-A/11: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PG382038.1,22,JP 2023517117-A/14: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for the treatment or alleviation of skin ulcer and the use thereof
PG382037.1,22,JP 2023517117-A/13: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for the treatment or alleviation of skin ulcer and the use thereof
PG054634.1,22,JP 2022545861-A/257: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054641.1,22,JP 2022545861-A/264: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054640.1,22,JP 2022545861-A/263: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054639.1,22,JP 2022545861-A/262: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054638.1,22,JP 2022545861-A/261: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054637.1,22,JP 2022545861-A/260: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054636.1,22,JP 2022545861-A/259: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054635.1,22,JP 2022545861-A/258: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054650.1,22,JP 2022545861-A/273: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054649.1,22,JP 2022545861-A/272: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054648.1,22,JP 2022545861-A/271: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054647.1,22,JP 2022545861-A/270: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054646.1,22,JP 2022545861-A/269: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054629.1,22,JP 2022545861-A/252: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054628.1,22,JP 2022545861-A/251: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054527.1,22,JP 2022545861-A/150: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054642.1,22,JP 2022545861-A/265: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054658.1,22,JP 2022545861-A/281: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054643.1,22,JP 2022545861-A/266: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054644.1,22,JP 2022545861-A/267: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054645.1,22,JP 2022545861-A/268: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054665.1,22,JP 2022545861-A/288: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054657.1,22,JP 2022545861-A/280: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PC352335.1,22,JP 2021513871-A/39: ADENO-ASSOCIATED VIRUS COMPOSITIONS FOR RESTORING F8 GENE FUNCTION AND METHODS OF USE THEREOF
PG054666.1,22,JP 2022545861-A/289: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054661.1,22,JP 2022545861-A/284: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054660.1,22,JP 2022545861-A/283: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054659.1,22,JP 2022545861-A/282: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054674.1,22,JP 2022545861-A/297: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054673.1,22,JP 2022545861-A/296: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054664.1,22,JP 2022545861-A/287: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054663.1,22,JP 2022545861-A/286: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054662.1,22,JP 2022545861-A/285: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054670.1,22,JP 2022545861-A/293: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054671.1,22,JP 2022545861-A/294: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054672.1,22,JP 2022545861-A/295: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054669.1,22,JP 2022545861-A/292: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054677.1,22,JP 2022545861-A/300: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054676.1,22,JP 2022545861-A/299: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054667.1,22,JP 2022545861-A/290: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054668.1,22,JP 2022545861-A/291: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PH015012.1,22,"JP 2023522022-A/29: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015007.1,22,"JP 2023522022-A/24: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015020.1,22,"JP 2023522022-A/37: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015011.1,22,"JP 2023522022-A/28: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015018.1,22,"JP 2023522022-A/35: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PD164758.1,22,JP 2022513336-A/43: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD206826.1,22,JP 2022515211-A/4: Small RNA
PG384958.1,22,JP 2023518294-A/24: ATTENUATED MYCOPLASMA BACTERIA
PG057192.1,21,JP 2022541767-A/28: Caninized Antibodies to Human and Canine CTLA-4
PG382062.1,21,JP 2023517118-A/22: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PG382060.1,21,JP 2023517118-A/20: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PD291745.1,21,JP 2022519595-A/171: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG382057.1,21,JP 2023517118-A/17: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PD291737.1,21,JP 2022519595-A/163: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291738.1,21,JP 2022519595-A/164: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD206836.1,21,JP 2022515211-A/14: Small RNA
PD206835.1,21,JP 2022515211-A/13: Small RNA
PG057251.1,21,JP 2022542808-A/53: Caninized Antibodies Against Canine CTLA-4
PD291739.1,21,JP 2022519595-A/165: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291740.1,21,JP 2022519595-A/166: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291741.1,21,JP 2022519595-A/167: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PC355097.1,21,JP 2021518397-A/7: USE OF ANTIBODY DRUG CONJUGATES COMPRISING TUBULIN DISRUPTING AGENTS TO TREAT SOLID TUMOR
PC355036.1,21,"JP 2021518132-A/11: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC355033.1,21,"JP 2021518132-A/8: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC355030.1,21,"JP 2021518132-A/5: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PG053291.1,21,JP 2022540918-A/17: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG239001.1,21,JP 2023506925-A/6: BISPECIFIC CANINIZED ANTIBODIES AND BISPECIFIC BINDING PARTNERS
PD255980.1,21,JP 2022518504-A/183: CLOSE-ENDED DNA (CEDNA) AND USE IN METHODS OF REDUCING GENE OR NUCLEIC ACID THERAPY RELATED IMMUNE RESPONSE
PD291742.1,21,JP 2022519595-A/168: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291743.1,21,JP 2022519595-A/169: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291744.1,21,JP 2022519595-A/170: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG382035.1,21,JP 2023517117-A/11: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for the treatment or alleviation of skin ulcer and the use thereof
PG116165.1,21,JP 2022551087-A/16: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116162.1,21,JP 2022551087-A/13: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116161.1,21,JP 2022551087-A/12: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG382036.1,21,JP 2023517117-A/12: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for the treatment or alleviation of skin ulcer and the use thereof
PG382039.1,21,JP 2023517117-A/15: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for the treatment or alleviation of skin ulcer and the use thereof
PG382049.1,21,JP 2023517118-A/9: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PD169384.1,21,JP 2022507487-A/4: CD25 ANTIBODIES
PC352332.1,21,JP 2021513871-A/36: ADENO-ASSOCIATED VIRUS COMPOSITIONS FOR RESTORING F8 GENE FUNCTION AND METHODS OF USE THEREOF
PG057243.1,21,JP 2022542808-A/45: Caninized Antibodies Against Canine CTLA-4
PG057245.1,21,JP 2022542808-A/47: Caninized Antibodies Against Canine CTLA-4
PG384953.1,21,JP 2023518294-A/19: ATTENUATED MYCOPLASMA BACTERIA
PG384956.1,21,JP 2023518294-A/22: ATTENUATED MYCOPLASMA BACTERIA
PG384960.1,21,JP 2023518294-A/26: ATTENUATED MYCOPLASMA BACTERIA
PG384961.1,21,JP 2023518294-A/27: ATTENUATED MYCOPLASMA BACTERIA
PG384943.1,21,JP 2023518294-A/9: ATTENUATED MYCOPLASMA BACTERIA
PG384944.1,21,JP 2023518294-A/10: ATTENUATED MYCOPLASMA BACTERIA
PG384945.1,21,JP 2023518294-A/11: ATTENUATED MYCOPLASMA BACTERIA
PG384946.1,21,JP 2023518294-A/12: ATTENUATED MYCOPLASMA BACTERIA
PG384947.1,21,JP 2023518294-A/13: ATTENUATED MYCOPLASMA BACTERIA
PD164725.1,21,JP 2022513336-A/10: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164720.1,21,JP 2022513336-A/5: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164726.1,21,JP 2022513336-A/11: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164728.1,21,JP 2022513336-A/13: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PG110167.1,21,"JP 2022549172-A/11: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PG239007.1,21,JP 2023506925-A/12: BISPECIFIC CANINIZED ANTIBODIES AND BISPECIFIC BINDING PARTNERS
PD164737.1,21,JP 2022513336-A/22: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164756.1,21,JP 2022513336-A/41: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PG382054.1,21,JP 2023517118-A/14: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PC355027.1,21,"JP 2021518132-A/2: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC371203.1,21,JP 2021521201-A/13: Antibodies
PC371204.1,21,JP 2021521201-A/14: Antibodies
PC371212.1,21,JP 2021521201-A/22: Antibodies
PC371215.1,21,JP 2021521201-A/25: Antibodies
PC371223.1,21,JP 2021521201-A/33: Antibodies
PC371228.1,21,JP 2021521201-A/38: Antibodies
PG116176.1,21,JP 2022551087-A/27: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116179.1,21,JP 2022551087-A/30: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116180.1,21,JP 2022551087-A/31: Compounds and pharmaceutical compositions for treating autoimmune diseases
PD291728.1,21,JP 2022519595-A/154: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291727.1,21,JP 2022519595-A/153: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291726.1,21,JP 2022519595-A/152: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG116184.1,21,JP 2022551087-A/35: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116168.1,21,JP 2022551087-A/19: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116169.1,21,JP 2022551087-A/20: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116170.1,21,JP 2022551087-A/21: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116172.1,21,JP 2022551087-A/23: Compounds and pharmaceutical compositions for treating autoimmune diseases
PD291736.1,21,JP 2022519595-A/162: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291735.1,21,JP 2022519595-A/161: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291734.1,21,JP 2022519595-A/160: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291733.1,21,JP 2022519595-A/159: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291732.1,21,JP 2022519595-A/158: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291731.1,21,JP 2022519595-A/157: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291730.1,21,JP 2022519595-A/156: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291729.1,21,JP 2022519595-A/155: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG116158.1,21,JP 2022551087-A/9: Compounds and pharmaceutical compositions for treating autoimmune diseases
PC420546.1,21,"JP 2021526833-A/2: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PG110164.1,21,"JP 2022549172-A/8: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PG110161.1,21,"JP 2022549172-A/5: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PG110158.1,21,"JP 2022549172-A/2: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PC420549.1,21,"JP 2021526833-A/5: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PC420552.1,21,"JP 2021526833-A/8: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PC420557.1,21,"JP 2021526833-A/13: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PG116154.1,21,JP 2022551087-A/5: Compounds and pharmaceutical compositions for treating autoimmune diseases
PD145803.1,21,"JP 2022502369-A/8: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145849.1,21,"JP 2022502369-A/54: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD154241.1,21,JP 2022512892-A/28: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PC434882.1,21,JP 2021534811-A/7: ANTI-HER3 ANTIBODY AND USES THEREOF
PD152220.1,21,JP 2022505101-A/1: Novel means to modulate NMDA receptor -mediated toxicity
PD152221.1,21,JP 2022505101-A/2: Novel means to modulate NMDA receptor -mediated toxicity
PD154238.1,21,JP 2022512892-A/25: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD154239.1,21,JP 2022512892-A/26: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD154240.1,21,JP 2022512892-A/27: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD192925.1,21,JP 2022525937-A/13: ANTIBODIES HAVING SPECIFICITY FOR BTN2 AND USES THEREOF
PG053290.1,21,JP 2022540918-A/16: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC352337.1,21,JP 2021513871-A/41: ADENO-ASSOCIATED VIRUS COMPOSITIONS FOR RESTORING F8 GENE FUNCTION AND METHODS OF USE THEREOF
PC401763.1,21,JP 2021524032-A/2: BINDING PROTEINS AND CHIMERIC ANTIGEN RECEPTOR T CELLS TARGETING GASP-1 GRANULES AND USES THEREOF
PC401768.1,21,JP 2021524032-A/7: BINDING PROTEINS AND CHIMERIC ANTIGEN RECEPTOR T CELLS TARGETING GASP-1 GRANULES AND USES THEREOF
PC493689.1,21,JP 2022502508-A/7: METHODS OF TREATING PERIPHERAL T CELL LYMPHOMA USING ANTI-CD30 ANTIBODY DRUG CONJUGATE THERAPY
PG053292.1,21,JP 2022540918-A/18: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053293.1,21,JP 2022540918-A/19: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053294.1,21,JP 2022540918-A/20: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053295.1,21,JP 2022540918-A/21: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053296.1,21,JP 2022540918-A/22: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053297.1,21,JP 2022540918-A/23: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053298.1,21,JP 2022540918-A/24: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG087114.1,21,"JP 2022549495-A/7: COMBINATION ANTI-CD30 ADC, ANTI-PD-1 AND CHEMOTHERAPEUTIC FOR TREATMENT OF HEMATOPEITIC CANCERS"
PD203313.1,21,JP 2022516848-A/5: BTN3A BINDING PROTEINS AND USES THEREOF
PG349464.1,21,JP 2023516300-A/334: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349463.1,21,JP 2023516300-A/333: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349462.1,21,JP 2023516300-A/332: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349461.1,21,JP 2023516300-A/331: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PH015015.1,21,"JP 2023522022-A/32: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015016.1,21,"JP 2023522022-A/33: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015021.1,21,"JP 2023522022-A/38: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH014999.1,21,"JP 2023522022-A/16: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015022.1,21,"JP 2023522022-A/39: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015008.1,21,"JP 2023522022-A/25: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH014994.1,21,"JP 2023522022-A/11: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH014993.1,21,"JP 2023522022-A/10: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015009.1,20,"JP 2023522022-A/26: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH014995.1,20,"JP 2023522022-A/12: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PH015006.1,20,"JP 2023522022-A/23: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
